idade,sexo,raca_cor,serie,turno,nota_portugues,nota_matematica,distorcao_idade_serie,faltas_anuais,repeticoes_anteriores,trabalha,renda_familiar,escolaridade_pai,escolaridade_mae,evasao
16,F,Amarela,2ano,vespertino,3.8,6.5,0,9,0,0,870,0,2,0
17,M,Parda,1ano,matutino,10.0,4.26,2,23,1,0,1551,0,1,1
15,M,Branca,1ano,vespertino,8.33,6.22,0,15,0,0,942,2,1,0
15,F,Parda,1ano,matutino,4.97,5.16,0,8,0,0,558,2,2,0
17,M,Parda,3ano,matutino,3.26,6.37,0,7,0,0,2916,2,0,0
19,M,Parda,3ano,noturno,5.86,4.12,2,20,1,1,1871,2,1,1
18,F,Parda,3ano,vespertino,8.83,4.6,1,8,0,0,545,0,3,0
18,M,Parda,2ano,vespertino,3.44,2.39,2,26,1,1,756,2,0,1
16,F,Parda,2ano,matutino,5.58,6.5,0,9,0,1,2138,1,2,0
18,M,Parda,2ano,matutino,8.65,7.48,2,20,1,0,619,0,1,0
17,F,Branca,2ano,noturno,2.14,7.23,1,20,0,1,1057,0,1,0
17,F,Parda,2ano,vespertino,3.9,4.35,1,19,0,1,960,0,0,1
16,F,Preta,1ano,vespertino,5.46,6.53,1,13,0,0,679,2,1,0
15,F,Preta,1ano,noturno,5.28,4.46,0,12,0,0,518,1,2,0
17,M,Parda,3ano,matutino,6.87,4.74,0,6,0,0,1159,1,2,0
17,M,Branca,2ano,noturno,1.74,1.48,1,14,0,1,575,3,0,1
19,M,Parda,3ano,vespertino,7.12,6.32,2,20,1,0,752,1,1,0
17,F,Branca,1ano,matutino,5.54,5.97,2,24,1,1,2391,1,2,1
16,M,Parda,2ano,matutino,6.8,6.56,0,19,0,0,682,1,2,0
17,F,Parda,1ano,vespertino,3.82,10.0,2,24,1,1,1747,0,1,1
15,M,Parda,1ano,matutino,2.82,3.28,0,10,0,0,2606,0,0,0
15,F,Parda,1ano,vespertino,4.72,8.49,0,17,0,1,1112,0,1,0
15,M,Branca,1ano,vespertino,5.87,6.83,0,14,0,1,1822,0,0,0
19,F,Parda,3ano,vespertino,5.16,4.57,2,16,1,0,610,0,0,1
15,F,Branca,1ano,vespertino,3.44,7.67,0,7,0,0,2192,0,1,0
16,M,Parda,2ano,vespertino,3.85,5.87,0,12,0,0,2030,1,0,0
16,F,Parda,2ano,vespertino,4.78,6.51,0,15,0,1,3881,0,1,0
17,F,Branca,2ano,noturno,10.0,4.15,1,14,0,1,3095,0,2,0
16,M,Branca,2ano,matutino,8.02,5.17,0,10,0,0,1497,1,2,0
16,F,Parda,1ano,noturno,6.14,3.28,1,12,0,0,11028,0,3,0
17,M,Parda,3ano,matutino,5.83,7.4,0,10,0,0,2457,1,2,0
17,F,Branca,3ano,matutino,8.38,9.84,0,11,0,0,3355,1,0,0
17,F,Parda,3ano,vespertino,6.08,4.64,0,16,0,0,838,0,0,0
17,F,Branca,2ano,matutino,6.02,6.57,1,17,0,0,902,0,1,0
15,F,Preta,1ano,matutino,3.7,4.61,0,9,0,0,1284,0,2,1
17,F,Parda,3ano,matutino,8.3,2.22,0,13,0,0,543,2,0,0
16,M,Branca,1ano,vespertino,4.98,5.17,1,11,0,0,1249,1,2,0
16,M,Parda,1ano,vespertino,4.34,5.73,1,9,0,0,1174,1,2,0
16,F,Parda,1ano,matutino,5.99,7.97,1,18,0,1,2908,2,1,0
17,F,Parda,3ano,vespertino,9.38,7.38,0,20,0,1,3083,2,0,0
16,F,Parda,2ano,matutino,6.44,6.38,0,18,0,1,1335,2,1,0
18,M,Branca,3ano,noturno,4.03,6.85,1,11,0,0,899,0,1,0
18,M,Branca,3ano,matutino,5.45,2.15,1,15,0,1,5076,2,1,0
15,M,Parda,1ano,vespertino,7.57,10.0,0,9,0,0,500,0,1,0
17,F,Branca,3ano,vespertino,7.45,2.08,0,13,0,1,500,1,0,0
19,M,Parda,2ano,vespertino,5.25,8.95,3,22,1,1,1780,1,0,1
16,M,Preta,2ano,noturno,2.43,3.6,0,17,0,1,1146,3,1,1
16,F,Parda,1ano,matutino,6.26,5.88,1,20,0,1,947,1,1,0
19,F,Parda,3ano,vespertino,6.98,8.54,2,19,1,0,500,2,2,0
15,M,Parda,1ano,matutino,6.58,9.4,0,14,0,1,600,0,2,0
15,F,Parda,1ano,vespertino,8.96,5.69,0,5,0,0,3953,0,0,0
16,M,Parda,2ano,matutino,9.39,4.46,0,9,0,0,3449,2,2,0
15,F,Parda,1ano,matutino,9.09,3.64,0,10,0,1,2281,2,3,1
16,M,Branca,1ano,matutino,4.46,4.85,1,14,0,0,630,0,1,1
16,M,Parda,2ano,matutino,6.61,4.28,0,8,0,0,928,0,1,0
20,F,Branca,2ano,noturno,4.71,9.0,4,26,2,1,878,2,1,1
17,M,Branca,3ano,noturno,5.6,3.74,0,9,0,0,705,1,1,0
17,F,Preta,1ano,matutino,7.02,2.86,2,13,1,0,784,1,3,1
18,M,Branca,3ano,vespertino,4.08,4.44,1,17,0,1,1117,0,2,1
16,M,Branca,2ano,vespertino,6.42,9.67,0,6,0,0,500,0,0,0
18,F,Parda,2ano,matutino,3.47,4.18,2,17,1,0,3117,2,1,1
16,M,Parda,2ano,matutino,6.23,7.02,0,6,0,0,1087,0,0,0
17,M,Preta,2ano,vespertino,4.92,7.43,1,11,0,0,810,2,1,0
17,M,Branca,3ano,matutino,5.06,3.35,0,8,0,0,500,0,2,0
15,M,Parda,1ano,vespertino,5.95,5.9,0,12,0,1,2267,0,1,0
15,F,Branca,1ano,matutino,6.58,5.99,0,18,0,1,526,1,0,0
16,M,Branca,2ano,matutino,4.04,6.98,0,7,0,0,1782,1,1,0
17,F,Branca,3ano,vespertino,6.65,7.61,0,6,0,0,599,3,1,0
16,M,Branca,1ano,vespertino,5.67,4.45,1,12,0,0,1327,0,0,0
16,M,Parda,2ano,noturno,4.62,5.09,0,9,0,1,500,1,0,0
17,F,Branca,3ano,matutino,6.65,5.67,0,7,0,0,1057,2,0,0
18,M,Parda,3ano,vespertino,7.81,10.0,1,15,0,1,1138,0,3,0
18,M,Parda,3ano,noturno,10.0,2.94,1,11,0,1,1379,2,2,0
16,M,Branca,2ano,vespertino,3.42,5.47,0,7,0,1,2457,2,0,0
20,M,Parda,2ano,noturno,8.43,6.19,4,28,2,1,1832,0,2,1
17,F,Parda,1ano,noturno,5.07,3.94,2,17,1,0,4231,2,0,1
20,F,Parda,3ano,noturno,6.64,7.31,3,19,1,0,500,3,1,0
15,M,Branca,1ano,noturno,3.59,3.94,0,15,0,1,6457,0,2,1
18,F,Branca,3ano,vespertino,7.03,5.68,1,10,0,0,2571,0,1,0
16,F,Parda,2ano,vespertino,4.5,3.37,0,13,0,1,850,3,0,1
16,M,Branca,2ano,noturno,6.02,3.19,0,17,0,1,2673,0,3,1
17,M,Branca,3ano,noturno,4.53,4.96,0,12,0,0,4980,0,2,1
20,F,Branca,2ano,matutino,4.69,4.77,4,23,2,0,2951,1,3,1
17,M,Branca,3ano,matutino,4.47,5.98,0,10,0,0,550,2,1,0
16,M,Preta,2ano,matutino,9.71,6.32,0,12,0,0,1252,3,1,0
16,M,Branca,2ano,noturno,4.19,9.13,0,11,0,0,2216,1,1,0
16,F,Branca,1ano,matutino,7.76,4.33,1,10,0,0,1181,2,0,0
16,F,Parda,2ano,matutino,5.39,1.46,0,17,0,1,1723,0,1,0
17,M,Parda,2ano,vespertino,4.59,2.61,1,7,0,0,1822,2,2,1
15,M,Parda,1ano,matutino,6.57,4.79,0,8,0,0,550,0,1,0
15,M,Parda,1ano,noturno,7.9,3.23,0,12,0,0,3317,2,1,0
16,F,Branca,2ano,vespertino,4.1,6.56,0,9,0,0,1304,1,2,0
16,M,Parda,2ano,matutino,10.0,1.73,0,19,0,1,1169,2,3,1
16,M,Branca,2ano,matutino,9.58,3.26,0,4,0,0,590,1,0,0
15,M,Indígena,1ano,noturno,5.94,3.29,0,10,0,0,998,1,3,0
15,M,Parda,1ano,vespertino,6.95,4.22,0,13,0,1,2564,1,1,0
16,F,Parda,1ano,vespertino,6.68,4.11,1,9,0,0,1468,0,0,0
20,M,Branca,3ano,matutino,6.13,5.65,3,15,1,0,2134,0,2,0
18,M,Parda,3ano,noturno,7.46,6.3,1,18,0,0,1179,0,1,0
15,F,Parda,1ano,noturno,4.64,5.47,0,16,0,1,1300,1,3,0
16,F,Parda,2ano,vespertino,8.52,5.67,0,11,0,0,500,0,2,0
15,M,Preta,1ano,matutino,5.32,5.48,0,11,0,0,1657,3,3,0
16,M,Branca,1ano,noturno,7.17,2.92,1,18,0,1,1036,0,0,0
16,F,Branca,1ano,vespertino,5.8,6.77,1,14,0,0,1562,1,0,0
15,M,Branca,1ano,matutino,4.67,4.85,0,6,0,0,500,0,2,0
18,M,Branca,2ano,noturno,3.74,1.07,2,17,1,0,9196,1,2,1
18,M,Parda,3ano,noturno,5.42,4.16,1,17,0,1,1285,3,2,1
17,F,Preta,1ano,vespertino,5.58,3.37,2,12,1,0,1753,2,0,1
16,M,Branca,2ano,noturno,8.18,5.71,0,9,0,0,1652,1,1,0
17,M,Branca,2ano,matutino,4.83,6.79,1,12,0,0,941,2,0,0
17,F,Branca,3ano,vespertino,8.06,3.69,0,15,0,1,1698,1,1,0
16,F,Parda,2ano,matutino,3.18,5.53,0,12,0,0,3132,0,0,0
16,M,Parda,1ano,vespertino,4.81,7.85,1,11,0,0,1397,0,3,0
16,M,Parda,2ano,matutino,7.95,4.2,0,9,0,0,2408,1,1,0
16,F,Parda,1ano,matutino,7.23,6.13,1,12,0,0,2242,2,1,0
18,M,Parda,3ano,noturno,6.22,5.63,1,18,0,1,2132,0,2,0
16,F,Parda,2ano,matutino,2.97,5.88,0,13,0,0,5327,1,3,0
18,M,Branca,2ano,noturno,7.55,6.41,2,12,1,0,1606,0,0,1
15,F,Parda,1ano,matutino,4.88,6.64,0,10,0,0,1139,2,2,0
16,M,Parda,2ano,matutino,6.98,5.54,0,9,0,0,1171,0,1,0
17,M,Branca,3ano,matutino,5.32,3.56,0,11,0,1,1680,0,0,0
17,M,Parda,2ano,matutino,5.42,5.69,1,20,0,1,500,1,0,0
16,M,Parda,2ano,vespertino,5.08,6.07,0,12,0,0,3712,1,2,0
18,F,Branca,3ano,matutino,9.78,4.14,1,9,0,0,997,1,2,0
17,F,Branca,3ano,vespertino,4.92,5.09,0,12,0,1,1125,0,2,0
16,F,Parda,1ano,vespertino,3.79,5.67,1,17,0,0,500,2,2,0
16,F,Branca,2ano,matutino,6.95,7.35,0,5,0,0,1322,1,1,0
17,M,Parda,2ano,matutino,2.1,10.0,1,18,0,0,500,1,0,0
16,F,Branca,2ano,matutino,4.2,5.89,0,7,0,0,500,0,3,0
16,M,Parda,1ano,matutino,8.84,6.92,1,15,0,0,675,0,2,0
15,F,Parda,1ano,matutino,5.53,7.05,0,10,0,0,995,1,1,0
17,F,Branca,3ano,vespertino,5.08,6.25,0,10,0,0,610,1,0,0
17,M,Parda,3ano,vespertino,10.0,2.82,0,19,0,1,1523,1,1,0
18,F,Branca,3ano,noturno,6.07,3.35,1,12,0,0,3232,1,1,0
18,F,Preta,3ano,noturno,4.54,4.99,1,10,0,0,1443,2,3,1
18,M,Preta,3ano,vespertino,7.17,3.75,1,9,0,0,500,1,0,0
17,F,Parda,3ano,matutino,5.23,4.05,0,12,0,1,1194,1,3,0
20,M,Parda,3ano,matutino,5.87,3.02,3,26,1,1,1928,3,3,1
17,M,Parda,2ano,vespertino,5.7,7.1,1,11,0,0,901,1,2,0
16,M,Parda,2ano,matutino,2.48,1.5,0,9,0,0,1559,0,2,1
16,M,Branca,1ano,matutino,7.33,7.32,1,14,0,0,1498,0,1,0
17,M,Branca,2ano,noturno,10.0,8.49,1,24,0,1,502,1,2,0
15,F,Branca,1ano,matutino,1.77,7.33,0,5,0,0,3176,0,0,0
15,M,Parda,1ano,matutino,8.71,3.74,0,11,0,1,961,0,0,0
17,F,Branca,2ano,noturno,5.6,6.48,1,17,0,1,931,1,2,0
18,M,Parda,2ano,matutino,4.59,6.71,2,17,1,1,1739,1,1,1
15,M,Branca,1ano,matutino,6.63,2.6,0,9,0,0,500,2,3,0
19,F,Parda,3ano,matutino,7.35,8.14,2,28,1,1,3336,0,0,1
17,F,Branca,3ano,matutino,6.37,5.84,0,12,0,1,552,2,0,0
16,F,Parda,1ano,noturno,4.36,7.91,1,14,0,1,5153,2,2,1
17,F,Branca,1ano,vespertino,5.38,2.57,2,16,1,0,2984,2,0,1
15,F,Parda,1ano,vespertino,6.19,7.76,0,12,0,0,540,2,0,0
18,M,Branca,3ano,matutino,6.69,7.6,1,17,0,0,1582,3,2,0
19,M,Parda,3ano,matutino,8.17,10.0,2,23,1,1,564,0,0,1
15,M,Branca,1ano,vespertino,2.96,4.21,0,6,0,0,505,0,1,0
17,M,Parda,3ano,matutino,6.39,0.56,0,16,0,1,500,3,1,1
17,M,Parda,1ano,matutino,5.75,7.43,2,11,1,0,2013,2,2,0
16,M,Parda,2ano,vespertino,6.02,3.81,0,12,0,1,841,2,3,1
18,M,Branca,3ano,noturno,7.82,7.73,1,18,0,1,2271,1,0,0
17,M,Branca,1ano,noturno,4.55,3.41,2,27,1,1,1451,3,2,1
16,M,Amarela,1ano,noturno,4.42,7.27,1,19,0,1,500,1,3,0
17,F,Parda,2ano,vespertino,3.49,4.89,1,15,0,0,2375,0,0,0
16,F,Parda,2ano,noturno,6.18,7.24,0,11,0,0,1836,3,1,0
18,F,Branca,3ano,noturno,4.15,6.58,1,19,0,1,825,0,2,0
17,F,Parda,3ano,matutino,4.21,7.28,0,7,0,0,2644,3,2,0
15,F,Branca,1ano,matutino,6.53,7.45,0,12,0,0,976,1,3,0
15,M,Parda,1ano,matutino,5.03,6.85,0,14,0,0,646,2,3,0
17,F,Parda,3ano,noturno,5.05,3.38,0,11,0,0,1040,1,3,0
16,F,Parda,1ano,noturno,6.93,8.72,1,11,0,1,901,1,1,0
17,M,Branca,3ano,noturno,4.5,5.81,0,11,0,1,500,3,3,0
17,M,Branca,2ano,matutino,6.81,6.87,1,15,0,1,500,2,0,0
16,F,Branca,1ano,noturno,8.2,5.1,1,17,0,1,4525,2,1,0
17,F,Parda,3ano,matutino,4.74,7.63,0,6,0,0,2998,1,1,0
15,F,Parda,1ano,matutino,7.97,6.3,0,12,0,0,3953,0,0,0
16,M,Parda,2ano,vespertino,3.94,6.82,0,13,0,0,2493,3,2,0
17,M,Parda,2ano,noturno,9.94,3.98,1,13,0,0,870,3,0,0
17,M,Branca,2ano,noturno,6.91,7.76,1,17,0,1,1052,0,2,0
16,F,Parda,2ano,matutino,4.92,6.35,0,18,0,1,740,2,0,0
16,M,Parda,2ano,matutino,8.07,2.45,0,8,0,0,1868,1,3,0
18,M,Parda,3ano,vespertino,4.17,4.29,1,13,0,0,1769,1,2,0
18,F,Parda,3ano,matutino,2.76,6.57,1,11,0,0,921,0,3,0
16,M,Preta,2ano,noturno,3.98,7.48,0,6,0,0,1720,2,2,0
15,F,Parda,1ano,matutino,3.3,7.42,0,11,0,0,3065,3,0,0
18,F,Branca,3ano,matutino,3.17,3.65,1,20,0,1,1209,0,1,1
18,F,Parda,3ano,matutino,7.42,6.07,1,8,0,0,500,0,1,0
16,F,Parda,1ano,vespertino,7.38,3.82,1,13,0,1,1746,0,0,1
18,F,Branca,2ano,noturno,4.71,5.3,2,14,1,0,500,3,1,1
17,M,Branca,2ano,matutino,8.89,4.17,1,12,0,0,634,2,3,0
15,M,Parda,1ano,matutino,3.59,6.66,0,12,0,1,1511,1,2,0
16,F,Parda,2ano,noturno,8.36,8.1,0,10,0,1,1988,2,1,0
16,F,Parda,1ano,vespertino,4.12,9.17,1,23,0,1,1308,0,1,1
17,M,Parda,3ano,matutino,6.46,6.32,0,12,0,0,538,1,1,0
17,F,Parda,3ano,matutino,5.07,4.84,0,7,0,0,11249,2,3,0
18,F,Branca,3ano,noturno,5.75,2.15,1,23,0,1,798,0,0,1
18,M,Branca,2ano,vespertino,6.33,7.02,2,15,1,1,1744,0,0,0
15,M,Parda,1ano,matutino,4.94,8.23,0,7,0,0,759,0,2,0
17,F,Branca,3ano,matutino,5.81,8.74,0,13,0,0,571,3,1,0
17,F,Preta,3ano,matutino,4.47,4.88,0,12,0,0,1263,1,2,0
16,F,Parda,2ano,matutino,3.43,5.56,0,6,0,0,850,0,1,0
17,F,Branca,3ano,matutino,2.41,6.57,0,15,0,1,1307,0,0,0
15,M,Branca,1ano,matutino,6.19,5.93,0,7,0,0,717,3,0,0
19,M,Parda,3ano,matutino,9.52,3.43,2,13,1,0,1349,0,2,1
17,M,Branca,1ano,matutino,4.41,3.03,2,24,1,1,664,3,1,1
18,M,Branca,1ano,vespertino,7.31,7.87,3,22,1,0,2867,1,0,1
16,F,Branca,2ano,vespertino,8.16,8.59,0,13,0,0,1538,1,3,0
15,M,Parda,1ano,noturno,5.2,4.54,0,6,0,0,1096,0,2,0
15,M,Parda,1ano,matutino,4.61,7.87,0,13,0,1,1196,0,2,1
15,F,Branca,1ano,noturno,6.69,6.77,0,8,0,0,896,2,1,0
17,F,Parda,2ano,noturno,7.55,5.44,1,18,0,1,1333,1,2,0
18,M,Parda,3ano,noturno,7.57,6.16,1,20,0,1,4016,0,2,0
16,M,Parda,1ano,matutino,4.0,8.19,1,17,0,0,767,2,0,0
16,M,Branca,2ano,matutino,9.96,4.59,0,17,0,1,1377,1,0,0
17,F,Branca,3ano,vespertino,5.7,5.45,0,13,0,1,655,1,0,0
18,F,Parda,1ano,matutino,5.78,4.04,3,17,1,0,500,0,1,1
15,F,Parda,1ano,matutino,6.38,2.52,0,8,0,0,1978,2,1,0
19,M,Preta,3ano,matutino,8.21,7.7,2,11,1,0,2871,1,0,0
18,F,Parda,3ano,vespertino,10.0,3.46,1,15,0,1,1717,3,1,0
16,M,Branca,2ano,noturno,6.24,6.33,0,17,0,1,7845,0,1,0
17,F,Parda,3ano,matutino,4.13,7.22,0,15,0,1,908,3,3,0
15,M,Branca,1ano,noturno,6.65,5.3,0,12,0,0,592,1,2,0
17,M,Parda,2ano,noturno,7.23,6.93,1,14,0,1,3124,0,3,0
17,M,Branca,3ano,matutino,4.95,4.58,0,4,0,0,3284,2,3,0
17,F,Parda,1ano,matutino,3.52,9.55,2,18,1,1,2917,1,2,1
17,M,Parda,3ano,matutino,8.68,4.4,0,14,0,1,510,0,0,0
17,M,Parda,2ano,noturno,8.52,10.0,1,18,0,1,692,0,2,0
18,F,Parda,3ano,vespertino,6.4,3.29,1,14,0,1,500,3,2,0
18,M,Preta,2ano,vespertino,8.7,3.88,2,21,1,0,5874,2,1,1
15,M,Parda,1ano,vespertino,5.71,4.7,0,8,0,0,580,3,2,0
15,M,Preta,1ano,matutino,3.52,7.39,0,10,0,0,500,2,2,0
15,M,Parda,1ano,noturno,8.22,4.84,0,11,0,1,1115,1,1,0
17,F,Branca,3ano,noturno,5.93,9.88,0,16,0,1,1331,0,2,0
17,M,Branca,1ano,vespertino,10.0,5.62,2,19,1,1,2065,1,2,1
16,M,Branca,1ano,vespertino,2.69,7.15,1,29,0,1,1092,0,2,1
18,F,Preta,1ano,matutino,7.06,5.53,3,16,1,0,703,0,2,0
16,M,Preta,1ano,matutino,3.71,4.17,1,9,0,0,883,1,2,1
17,F,Branca,3ano,matutino,7.92,3.89,0,5,0,0,747,0,0,0
17,F,Branca,2ano,vespertino,8.21,6.7,1,9,0,0,3695,3,2,0
17,M,Parda,3ano,noturno,4.46,6.04,0,9,0,1,1205,0,3,0
15,F,Parda,1ano,noturno,9.57,0.0,0,8,0,0,2013,0,0,0
16,F,Parda,2ano,matutino,2.5,7.13,0,15,0,1,1025,1,1,0
16,M,Preta,2ano,matutino,7.05,5.44,0,15,0,1,500,0,1,0
16,M,Parda,2ano,matutino,6.94,8.32,0,17,0,1,4511,1,1,0
19,M,Parda,3ano,noturno,7.09,5.15,2,15,1,0,1928,2,2,0
17,M,Parda,3ano,noturno,8.06,6.26,0,23,0,1,1652,0,0,1
17,M,Parda,3ano,vespertino,6.69,6.11,0,9,0,0,500,0,3,0
17,M,Parda,1ano,vespertino,6.87,4.22,2,14,1,0,1084,3,1,1
15,F,Parda,1ano,vespertino,3.8,6.02,0,15,0,1,4162,2,2,1
16,M,Preta,2ano,matutino,4.43,5.95,0,15,0,0,3417,0,0,0
16,F,Preta,1ano,matutino,5.43,8.23,1,14,0,0,1018,1,2,0
17,M,Parda,3ano,matutino,8.27,4.42,0,8,0,0,3214,0,1,0
17,F,Branca,2ano,matutino,7.09,3.94,1,13,0,1,4256,2,1,0
16,F,Parda,2ano,vespertino,6.5,8.26,0,13,0,1,1071,0,0,0
18,M,Parda,3ano,matutino,0.9,8.61,1,20,0,1,3478,2,2,0
17,M,Branca,3ano,vespertino,3.25,3.77,0,13,0,0,3355,0,3,1
15,M,Parda,1ano,vespertino,6.69,5.09,0,8,0,0,2371,0,2,0
15,M,Branca,1ano,vespertino,4.99,7.39,0,17,0,1,2562,0,2,0
16,M,Parda,2ano,noturno,5.51,2.58,0,16,0,1,602,1,1,1
16,F,Branca,2ano,matutino,7.78,4.67,0,7,0,0,2270,2,1,0
17,F,Parda,1ano,vespertino,6.23,5.39,2,15,1,0,1096,0,2,1
18,M,Parda,2ano,matutino,3.01,5.68,2,21,1,1,587,0,0,1
19,F,Branca,3ano,vespertino,4.97,6.17,2,18,1,0,4090,1,1,1
18,F,Parda,3ano,vespertino,6.64,4.0,1,17,0,0,1102,0,2,0
16,M,Parda,2ano,matutino,7.63,7.73,0,10,0,1,1462,0,1,0
18,F,Branca,2ano,matutino,4.62,5.42,2,19,1,1,1356,1,3,1
16,M,Branca,1ano,vespertino,7.9,4.33,1,17,0,1,500,1,2,0
19,F,Branca,2ano,vespertino,1.54,7.22,3,20,1,0,956,2,1,1
15,F,Parda,1ano,vespertino,5.76,7.63,0,18,0,1,2250,0,1,0
17,M,Parda,2ano,matutino,2.8,6.45,1,18,0,1,1225,0,1,1
16,M,Preta,2ano,vespertino,4.23,8.96,0,11,0,0,913,1,1,0
16,F,Branca,1ano,vespertino,7.47,3.3,1,11,0,0,1582,1,2,0
15,M,Branca,1ano,matutino,5.1,6.85,0,6,0,0,2861,2,2,0
15,F,Parda,1ano,vespertino,4.22,4.15,0,12,0,1,500,0,2,1
17,F,Branca,3ano,vespertino,4.38,8.68,0,7,0,0,1114,0,1,0
17,M,Branca,2ano,noturno,8.64,6.78,1,18,0,1,1230,0,2,0
16,M,Parda,1ano,matutino,7.67,7.99,1,17,0,1,4991,1,1,0
20,F,Parda,3ano,matutino,5.94,8.8,3,26,1,0,3181,0,2,1
16,F,Branca,2ano,noturno,2.71,7.14,0,27,0,1,500,0,2,1
17,F,Parda,2ano,noturno,2.28,5.09,1,23,0,1,3539,2,0,1
17,M,Branca,3ano,matutino,4.73,3.13,0,17,0,1,1074,3,2,1
16,F,Branca,1ano,noturno,5.29,5.32,1,13,0,0,500,0,0,0
15,M,Branca,1ano,matutino,10.0,4.95,0,5,0,0,500,0,1,0
18,M,Preta,2ano,noturno,4.47,5.38,2,23,1,0,3612,1,1,1
15,M,Branca,1ano,matutino,5.31,7.4,0,14,0,1,1743,3,1,0
16,F,Branca,2ano,matutino,5.49,5.1,0,9,0,0,552,1,2,0
16,F,Branca,1ano,noturno,4.21,8.16,1,13,0,1,4299,1,2,1
15,F,Parda,1ano,matutino,9.65,5.89,0,19,0,1,2138,2,2,0
17,F,Branca,1ano,noturno,5.35,4.2,2,23,1,1,987,2,0,1
16,M,Branca,2ano,vespertino,2.17,7.07,0,5,0,0,1539,2,1,0
15,F,Parda,1ano,matutino,7.12,4.7,0,9,0,0,600,0,1,0
19,F,Parda,1ano,noturno,6.99,6.95,4,26,2,1,5998,2,3,1
17,F,Parda,3ano,vespertino,7.82,5.24,0,12,0,1,500,0,0,0
15,F,Parda,1ano,noturno,5.27,3.57,0,17,0,1,500,1,1,0
16,M,Preta,1ano,noturno,3.34,7.84,1,15,0,1,1416,2,0,0
16,M,Branca,1ano,matutino,6.14,2.68,1,19,0,1,12144,2,0,0
17,F,Parda,1ano,matutino,6.15,7.59,2,11,1,0,500,1,2,0
15,M,Branca,1ano,matutino,4.81,7.97,0,11,0,1,2326,2,1,0
17,M,Parda,2ano,vespertino,4.51,7.34,1,11,0,0,1281,0,2,0
15,F,Parda,1ano,matutino,6.95,8.38,0,8,0,0,1668,2,0,0
17,F,Parda,3ano,matutino,4.49,6.15,0,13,0,0,3021,2,0,0
17,M,Parda,3ano,noturno,8.69,9.59,0,10,0,0,700,2,1,0
15,M,Branca,1ano,matutino,7.63,6.12,0,11,0,0,986,0,2,0
16,M,Preta,1ano,vespertino,8.29,3.71,1,20,0,0,698,0,0,0
15,M,Branca,1ano,vespertino,4.06,5.75,0,9,0,0,3719,0,0,0
16,M,Branca,2ano,matutino,6.0,4.37,0,18,0,1,3353,2,0,0
15,M,Preta,1ano,matutino,4.84,7.84,0,10,0,0,500,0,1,0
17,F,Parda,3ano,matutino,4.7,6.5,0,8,0,0,1643,0,2,0
19,M,Parda,3ano,vespertino,9.34,5.04,2,17,1,0,2804,1,1,1
17,M,Branca,3ano,matutino,8.17,8.45,0,11,0,0,500,1,2,0
16,F,Branca,2ano,noturno,6.46,6.25,0,12,0,0,3679,1,1,0
17,M,Parda,3ano,noturno,9.07,7.38,0,15,0,1,1150,2,3,0
15,F,Branca,1ano,matutino,8.25,4.68,0,17,0,0,843,0,1,0
16,M,Parda,2ano,noturno,4.98,8.98,0,7,0,0,3704,3,0,0
15,M,Branca,1ano,noturno,2.74,1.3,0,18,0,1,2994,2,2,1
17,M,Branca,3ano,matutino,1.08,6.62,0,14,0,0,500,2,3,0
17,M,Parda,2ano,noturno,3.65,8.05,1,16,0,1,2157,1,1,0
19,M,Branca,3ano,matutino,8.95,5.82,2,17,1,0,2089,1,0,0
15,F,Branca,1ano,vespertino,5.63,5.41,0,6,0,0,500,2,1,0
17,F,Branca,3ano,matutino,7.46,9.72,0,13,0,1,1898,0,1,0
16,F,Branca,2ano,noturno,6.84,7.99,0,15,0,1,871,1,0,0
16,F,Parda,2ano,noturno,5.71,5.41,0,11,0,1,2990,0,1,0
19,M,Parda,3ano,noturno,4.84,4.0,2,27,1,1,611,2,1,1
16,F,Parda,2ano,noturno,6.83,4.49,0,15,0,1,1336,3,0,1
16,F,Parda,2ano,matutino,9.87,2.51,0,10,0,0,789,3,0,0
18,M,Branca,2ano,vespertino,6.59,7.19,2,23,1,1,728,3,1,1
16,F,Branca,1ano,matutino,2.7,2.92,1,10,0,0,500,1,2,1
16,F,Preta,1ano,matutino,2.1,7.3,1,19,0,1,2842,1,1,0
15,F,Branca,1ano,matutino,6.31,6.46,0,12,0,1,3067,1,2,0
15,F,Parda,1ano,noturno,5.23,2.85,0,14,0,1,1283,1,0,1
18,F,Branca,3ano,vespertino,3.14,9.36,1,19,0,1,1630,0,1,0
17,F,Parda,2ano,matutino,8.25,7.83,1,11,0,0,673,1,3,0
16,F,Parda,1ano,noturno,4.9,5.09,1,17,0,0,2863,2,2,1
17,F,Parda,2ano,noturno,7.07,2.98,1,8,0,0,1476,1,3,0
16,M,Branca,2ano,matutino,7.91,2.78,0,12,0,1,1273,2,2,0
18,F,Parda,2ano,vespertino,3.09,6.38,2,21,1,1,3932,1,0,1
17,F,Parda,3ano,vespertino,5.71,7.59,0,3,0,0,500,1,2,0
17,M,Parda,3ano,vespertino,4.28,5.78,0,8,0,0,500,0,1,0
17,F,Preta,2ano,vespertino,7.3,4.41,1,9,0,0,1729,1,1,0
15,M,Branca,1ano,vespertino,8.54,3.08,0,8,0,0,1025,0,2,0
16,M,Parda,2ano,matutino,6.4,8.9,0,11,0,0,500,2,1,0
